epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1113.64,0.91773,0.58922,1.17161,0.91422,0.91949,0.9337,0.68192,1.01762,0.50232,1.28678,0.000742625,0.000742625,0.000742625
43,1191.47,0.91706,0.61617,1.1738,0.94968,0.9273,0.9527,0.69281,1.01873,0.5047,1.28025,0.00073025,0.00073025,0.00073025
44,1271.82,0.90604,0.60121,1.16684,0.94011,0.92603,0.94927,0.68977,1.02182,0.4907,1.29102,0.000717875,0.000717875,0.000717875
45,1351.51,0.90716,0.58578,1.16879,0.94856,0.92206,0.94555,0.69688,1.02864,0.49051,1.30147,0.0007055,0.0007055,0.0007055
46,1430.26,0.91354,0.58555,1.16776,0.94357,0.91942,0.94563,0.69424,1.02319,0.50189,1.2969,0.000693125,0.000693125,0.000693125
47,1507.88,0.89843,0.58372,1.15996,0.95972,0.93091,0.95128,0.69537,1.00758,0.47758,1.27844,0.00068075,0.00068075,0.00068075
48,1588.45,0.89236,0.58272,1.15781,0.97027,0.90705,0.94943,0.69631,1.01881,0.48178,1.28006,0.000668375,0.000668375,0.000668375
49,1665.5,0.88764,0.5714,1.15177,0.91375,0.94476,0.9511,0.70399,1.00065,0.48093,1.26448,0.000656,0.000656,0.000656
50,1745.31,0.8788,0.56506,1.14806,0.93012,0.94325,0.95274,0.69533,1.01941,0.4784,1.27793,0.000643625,0.000643625,0.000643625
51,1823.41,0.8704,0.55601,1.14519,0.93374,0.93573,0.95363,0.70111,1.00454,0.46939,1.28356,0.00063125,0.00063125,0.00063125
52,1904.92,0.88321,0.56778,1.15246,0.93062,0.94297,0.95244,0.69794,1.00385,0.46103,1.28543,0.000618875,0.000618875,0.000618875
53,1987.09,0.86688,0.54757,1.14362,0.93393,0.93947,0.95207,0.69644,1.01692,0.47995,1.30177,0.0006065,0.0006065,0.0006065
54,2067.42,0.86647,0.5452,1.13697,0.92728,0.94666,0.95538,0.70701,0.99373,0.46561,1.28282,0.000594125,0.000594125,0.000594125
55,2147.32,0.863,0.53779,1.13826,0.94113,0.93085,0.95465,0.70322,0.99764,0.46253,1.27327,0.00058175,0.00058175,0.00058175
56,2224.82,0.85731,0.54841,1.13938,0.94289,0.9407,0.95726,0.70684,1.00985,0.46614,1.27659,0.000569375,0.000569375,0.000569375
57,2305.04,0.8819,0.5568,1.15065,0.96335,0.93189,0.95647,0.7097,0.99142,0.45403,1.26858,0.000557,0.000557,0.000557
58,78.4316,0.84748,0.53369,1.12977,0.94201,0.93554,0.95608,0.70501,1.00303,0.46233,1.27749,0.000544625,0.000544625,0.000544625
59,154.52,0.85474,0.54468,1.13857,0.92906,0.94625,0.9557,0.70694,1.00491,0.4705,1.2655,0.00053225,0.00053225,0.00053225
60,231.819,0.84075,0.52092,1.12639,0.94406,0.94318,0.95901,0.71507,0.9879,0.45721,1.27255,0.000519875,0.000519875,0.000519875
61,309.199,0.83216,0.51515,1.12936,0.93194,0.94302,0.95469,0.71053,0.99936,0.44934,1.27081,0.0005075,0.0005075,0.0005075
62,387.246,0.82589,0.50605,1.12302,0.93122,0.95525,0.95654,0.71094,0.99315,0.44892,1.25653,0.000495125,0.000495125,0.000495125
63,463.834,0.83746,0.52816,1.12728,0.95645,0.93209,0.95425,0.71419,0.99613,0.44791,1.25741,0.00048275,0.00048275,0.00048275
64,539.914,0.83849,0.51497,1.1306,0.9391,0.94888,0.95557,0.71408,0.98428,0.44695,1.25762,0.000470375,0.000470375,0.000470375
65,614.364,0.81959,0.49923,1.11692,0.93427,0.94862,0.95283,0.70726,0.99742,0.44745,1.27689,0.000458,0.000458,0.000458
66,691.598,0.81685,0.50343,1.11511,0.95335,0.93786,0.95356,0.71612,0.99232,0.44739,1.26202,0.000445625,0.000445625,0.000445625
67,766.601,0.80293,0.496,1.1084,0.95138,0.93888,0.95207,0.70773,1.00589,0.44865,1.27305,0.00043325,0.00043325,0.00043325
68,840.563,0.80425,0.49127,1.10808,0.95317,0.94278,0.95729,0.71058,0.98225,0.44582,1.24679,0.000420875,0.000420875,0.000420875
69,917.106,0.81148,0.48781,1.1096,0.93918,0.94864,0.95884,0.71017,0.97831,0.43902,1.25253,0.0004085,0.0004085,0.0004085
70,991.665,0.80252,0.48619,1.10332,0.93307,0.9505,0.95691,0.71011,0.97785,0.44453,1.24763,0.000396125,0.000396125,0.000396125
